rank,name,symbol,slug,price_usd,change_1h_pct,change_24h_pct,change_7d_pct,market_cap_usd,volume_24h_usd,circulating_supply,total_supply,max_supply,date_snapshot,fdv_usd,liq_mkt_cap_pct
1,Bitcoin,BTC,bitcoin,64907.42933447642,-0.2985311,-1.28572081,2.35860817,1302071007551.6401,23254528446.83012,20060431.0,20060431.0,21000000.0,2026-07-24,1362653538875.71,1.7864
2,Ethereum,ETH,ethereum,1868.0426456400562,-0.37749424,-2.9519221,1.28032109,225440453385.37976,9903727409.860325,120682712.41641597,120682712.41641597,,2026-07-24,225315278649.95,4.4027
3,Tether USDt,USDT,tether,0.9990837534142627,-0.02990551,-0.05337418,-0.01747682,183988183839.73538,51047206302.712204,184156916986.16385,189106724037.45197,,2026-07-24,188959283191.72,27.7406
4,BNB,BNB,bnb,566.9069765050675,-0.11959412,-0.63081519,-0.59755542,75492602185.21434,908328476.9541929,133165766.72,133165766.72,133165766.72,2026-07-24,75492602185.21,1.2032
5,USDC,USDC,usd-coin,0.9998715584104337,-0.02297338,-0.00958472,-0.00939195,72962496800.43231,9919710020.826143,72971869423.33467,72971869423.33467,,2026-07-24,72962496800.43,13.5956
6,XRP,XRP,xrp,1.1063372233504651,-0.24711067,-2.56931007,1.83651688,69109018259.18857,1040564663.966964,62466503703.0,99985639695.0,100000000000.0,2026-07-24,110628128263.51,1.5061
7,Solana,SOL,solana,75.44734611789168,-0.61773119,-2.7752449,0.64349887,43975627746.054474,1553181659.2092288,582865137.1956745,630867794.2042152,,2026-07-24,47597300823.96,3.5319
8,TRON,TRX,tron,0.32833352698786783,-0.05870625,-0.24101916,2.07225334,31151765264.908783,417832233.4001518,94878416927.73538,94878401448.75069,,2026-07-24,31151760182.64,1.3413
9,Hyperliquid,HYPE,hyperliquid,57.67544582832567,-0.45384048,-1.97653422,-4.48374937,14576471602.112541,330467184.8417364,252732707.8753801,953092885.8795245,953092885.8795245,2026-07-24,54970057108.91,2.2671
10,Dogecoin,DOGE,dogecoin,0.06911395915494903,-0.246381,-4.91956665,-3.93152408,11812184729.651203,845534013.288912,170908813126.57907,170908813126.57907,,2026-07-24,11812184729.65,7.1582
11,UNUS SED LEO,LEO,unus-sed-leo,9.688802072725046,-0.18790067,-0.73318116,-1.17090667,8915026366.65676,213790.97201497,920137112.9,985239504.0,,2026-07-24,9545790548.49,0.0024
12,Zcash,ZEC,zcash,504.597343834131,-0.61672553,-2.47539807,-4.08574039,8470262681.551095,362015667.26641273,16786181.6655448,16786181.6655448,21000000.0,2026-07-24,10596544220.52,4.274
13,Monero,XMR,monero,352.91458277976665,-0.3564538,-0.27420129,5.43598244,6628415910.351544,88308858.06887512,18781926.94147737,18781926.94147737,,2026-07-24,6626289197.37,1.3332
14,Chainlink,LINK,chainlink,8.408480413199428,-0.29106937,-2.28122576,1.80040179,6290383948.432708,185908393.69793683,748099970.424884,1000000000.0,1000000000.0,2026-07-24,8402496271.77,2.9584
15,Stellar,XLM,stellar,0.1819600199845498,-0.32703922,-2.25159442,-0.58423581,6218455797.972739,129166962.76637563,34174846752.054367,50001786839.912476,50001806812.0,2026-07-24,9092609917.36,2.0788
16,Cardano,ADA,cardano,0.1668135338311382,-0.12644415,-4.20602974,4.57838082,6087009070.053804,232846168.39687485,36489899411.97189,44993202652.386566,45000000000.0,2026-07-24,7495968683.31,3.8305
17,Canton,CC,canton-network,0.12128753984822632,0.06887607,-0.5058133,-9.06945631,4747522982.32392,13478211.02737095,39142709863.39366,39142709863.39366,,2026-07-24,4747686157.04,0.2839
18,Dai,DAI,multi-collateral-dai,0.9997934843726982,0.01265907,-0.00855315,-2.127e-05,4646027722.028894,37808909.46084389,4646987397.546362,4646987397.546362,,2026-07-24,4645823082.08,0.8141
19,Bitcoin Cash,BCH,bitcoin-cash,209.85269330387993,-0.23372884,-3.96927952,-5.44949736,4210786757.4853377,99704928.68815276,20065440.625,20065440.625,21000000.0,2026-07-24,4407404628.44,2.368
20,World Liberty Financial USD,USD1,usd1,0.9987092870342352,-0.01585922,-0.06316231,-0.00655605,4150096647.006028,829850340.1168065,4155460153.3046174,4155460153.3046174,,2026-07-24,4150634422.44,19.9974
21,Ethena USDe,USDe,ethena-usde,0.999839023256277,0.00164635,-0.01944252,0.02223018,3983252011.40638,30936274.44208984,3983893325.581272,3983893325.581272,,2026-07-24,3983247707.38,0.7766
22,Gram (prev. Toncoin),GRAM,gram,1.4428052720147637,0.11552368,-2.88166536,-4.15930287,3943464646.9844117,59172738.05254184,2733192568.3066535,5219543703.808129,,2026-07-24,7533116671.79,1.5019
23,Litecoin,LTC,litecoin,46.73898549933542,-0.64356175,-1.09168949,4.19905879,3618578304.771215,246289954.02669808,77420985.20351212,84000000.0,84000000.0,2026-07-24,3926074781.94,6.8063
24,Global Dollar,USDG,global-dollar-usdg,0.9999325120923563,0.00048318,-0.01306366,0.00993492,3266472194.1950994,259915254.141982,3266692656.447398,3266692656.447398,,2026-07-24,3266438649.55,7.9542
25,Hedera,HBAR,hedera,0.0708778653860874,-0.36662831,-2.5491327,6.76507466,3103819425.128191,65227241.24136139,43791096250.16217,50000000000.0,50000000000.0,2026-07-24,3543750984.77,2.099
26,Sui,SUI,sui,0.7416400877490924,-0.34539419,-2.76466323,0.39049207,3005373406.6417522,196803269.05767247,4052334085.342099,10000000000.0,10000000000.0,2026-07-24,7416400877.49,6.5484
27,PayPal USD,PYUSD,paypal-usd,0.9998161746690228,0.01436014,0.00621947,0.01131789,2704618439.5734944,56177403.05058665,2705115708.363916,2705115708.363916,,2026-07-24,2704639666.92,2.0772
28,Cronos,CRO,cronos,0.057156006310711376,-0.26492798,-0.64623053,-3.06269077,2701977417.2136965,6721597.31718963,47273726623.32655,98807065078.55518,100000000000.0,2026-07-24,5715723234.8,0.2488
29,Avalanche,AVAX,avalanche,6.225836409197829,-0.31187857,-5.36577208,-3.70855011,2688141596.3678374,245761360.08920258,431771961.1772119,463441061.1772119,715748719.0,2026-07-24,4456622060.83,9.1402
30,Tether Gold,XAUt,tether-gold,4042.282614889234,0.03310507,-1.65936878,1.59739524,2477206424.9190025,137584444.5948951,612823.659532,707747.089,,2026-07-24,2860899801.2,5.5544
31,NEAR Protocol,NEAR,near-protocol,1.893061237939279,-0.27881973,1.44514502,-3.95281341,2464126522.6324,108970808.39404517,1301662341.0,1301662341.0,,2026-07-24,2464057722.57,4.4239
32,Shiba Inu,SHIB,shiba-inu,4.123678077561586e-06,-0.08638441,-3.16248379,0.15053975,2429847901.1243873,55134446.5118793,589242868968376.2,589499571973981.6,589552695333683.0,2026-07-24,2431339954.98,2.2692
33,Uniswap,UNI,uniswap,3.7607755889989076,-0.0049885,-0.94775086,6.66214013,2351348072.6123123,150971820.4332127,625229561.5538775,892364420.0329479,,2026-07-24,3354164090.4,6.4257
34,Bittensor,TAO,bittensor,191.20261961027308,-0.73830406,-2.05961387,0.39187667,2133081547.6944592,94255533.74359344,11156131.39632869,21000000.0,21000000.0,2026-07-24,4015774874.96,4.419
35,Ondo,ONDO,ondo-finance,0.3986105284684756,-0.84827937,-1.24234923,8.95656512,1940966462.4884143,115807021.14833808,4869330647.0,10000000000.0,10000000000.0,2026-07-24,3981541684.44,5.9729
36,World Liberty Financial,WLFI,world-liberty-financial-wlfi,0.05739181156637367,-0.46457188,7.23384611,-0.37027651,1823600835.77223,235641706.86643982,31774582227.0,100000000000.0,100000000000.0,2026-07-24,5737765706.34,12.9157
37,PAX Gold,PAXG,pax-gold,4040.0265017510906,0.03790743,-1.68208882,1.6401951,1797267023.4119759,121108484.43600246,444865.156858,444865.156858,,2026-07-24,1797276411.24,6.7382
38,OKB,OKB,okb,81.82202023735593,-0.36340473,-0.5431001,1.37083847,1718262424.9844744,26797688.69990098,21000000.0,21000000.0,21000000.0,2026-07-24,1718524064.2,1.5598
39,Aster,ASTER,aster,0.622540402751859,0.03547017,0.05998584,0.53317813,1680877200.2346218,57028528.49855438,2700029094.9864817,7816197874.516728,8000000000.0,2026-07-24,4981068053.76,3.3927
40,Ripple USD,RLUSD,ripple-usd,0.9999870850000712,-0.01561966,0.00996362,0.05371497,1593930671.2900577,143006797.44583416,1593951257.1704307,1593951257.1704307,,2026-07-24,1593923173.2,8.9856
41,USDD,USDD,usdd,0.9991253067515546,-0.0153594,-0.02133443,0.0080281,1542118329.6192033,23003259.57402831,1543468391.0,1543468391.0,,2026-07-24,1542364538.61,1.4901
42,MemeCore,M,memecore,1.1424176126217556,0.20265898,0.20994168,-5.87907985,1516394628.9677787,12934059.74723931,1327355786.7230148,5394672559.23024,10000000000.0,2026-07-24,11425508486.4,0.8529
43,Aave,AAVE,aave,95.04627694213397,-0.47584864,-2.89887627,5.03609633,1465379941.2190483,167252373.3564336,15417541.73192076,16000000.0,,2026-07-24,1518187349.69,11.4335
44,Polkadot,DOT,polkadot-new,0.8131605739933306,-0.51640706,-2.15940334,-4.83041866,1378063784.2401447,58460214.28372491,1694700688.048173,1694700688.048173,2100000000.0,2026-07-24,1707237097.09,4.241
45,Worldcoin,WLD,worldcoin-org,0.38047610776918767,-0.32731229,-0.34259429,-0.72224376,1353845781.8944135,163520478.6393517,3558293817.270943,10000000000.0,,2026-07-24,3804978249.03,12.0765
46,Mantle,MNT,mantle,0.40773092292413826,-0.23900848,-2.8069085,-7.39645554,1346447536.358943,23449238.4632725,3302294382.53684,6219316794.889999,6219316795.0,2026-07-24,2536066032.53,1.7398
47,Sky,SKY,sky,0.05641593807063374,-6.8799881,-10.36219455,-7.34853942,1317708012.0046935,24275644.9821594,23357016776.9771,23462665147.365967,23462665147.0,2026-07-24,1323668263.91,1.8423
48,Internet Computer,ICP,internet-computer,2.146494368022431,-0.54984285,-2.7672101,1.1883315,1191594351.0816329,28103709.87759874,555135093.2168765,555135093.2168765,,2026-07-24,1191293706.71,2.3585
49,Bitget Token,BGB,bitget-token-new,1.6598131067297817,-0.30981954,-2.07300447,1.98020857,1159520447.3953862,6298535.66783838,698584944.710981,910920874.6481038,919992035.98,2026-07-24,1527084744.18,0.5432
50,Pepe,PEPE,pepe,2.774616573188789e-06,-0.00363827,-2.90714454,1.85419727,1148059961.3600292,133935494.3839161,413772473088271.1,413772473088271.1,413772473088271.1,2026-07-24,1147974807.28,11.6636
51,United Stables,U,united-stables,0.9996927422847042,-0.00617172,-0.01661185,0.02658886,1061682797.307914,95068751.95475383,1062009107.8,1062009107.8,,2026-07-24,1061861598.59,8.9445
52,Ethereum Classic,ETC,ethereum-classic,6.714040290572951,-1.4339555,-3.05445045,-2.65050245,1058240008.2145996,34825140.10685162,157615975.24227747,210700000.0,210700000.0,2026-07-24,1411740377.12,3.3827
53,Morpho,MORPHO,morpho,1.9731862516967735,0.83529929,1.22113513,-3.5409742,1018848869.9872781,15986127.64302161,516347034.70650786,999999999.8010328,1000000000.0,2026-07-24,1972698781.09,1.5674
54,Stable,STABLE,stable,0.03819312813315316,-0.03616662,2.43053412,-3.26723749,945587404.7746313,17901820.96350278,24758050754.0,100000000000.0,,2026-07-24,3822170170.2,1.8921
55,Audiera,BEAT,audiera,3.046593089355513,-0.31093214,16.68309712,19.36068194,942209687.4036196,24928227.78334739,309266666.0,1000000000.0,1000000000.0,2026-07-24,3062433464.48,2.6381
56,Pi,PI,pi,0.08376200031585637,-0.3275696,-10.00883687,9.13941695,916504694.8290933,13447300.79780975,10941771822.223263,100000000000.0,100000000000.0,2026-07-24,8364992611.64,1.4675
57,KuCoin Token,KCS,kucoin-token,6.562075138792515,-0.16863879,-1.62448439,-1.7840371,900021555.4055419,2557227.18870339,137155021.29577178,142155021.29577178,200000000.0,2026-07-24,1313251877.75,0.2843
58,Ethena,ENA,ethena,0.08905227601219211,0.11726455,-1.42236157,11.05890022,851423245.185318,140309220.33276573,9560937500.0,15000000000.0,15000000000.0,2026-07-24,1335256771.32,16.4699
59,JUST,JST,just,0.10149893928462747,0.19162655,-0.68723064,4.60932854,831148732.2630659,30839114.25089786,8188743036.341737,8188743036.341737,,2026-07-24,830916695.13,3.7114
60,Polygon (prev. MATIC),POL,polygon-ecosystem-token,0.07660671344366712,0.0955796,-3.10382968,-6.39128706,818460008.0301636,43345857.57933409,10683920132.30041,10683920142.30041,,2026-07-24,818327589.75,5.2849
